2026-07-05 17:27:13 | INFO     | scraper | Starting TikTokScraper …
2026-07-05 17:27:13 | INFO     | scraper | Browser context created.
2026-07-05 17:27:13 | INFO     | scraper | Scraping video: https://www.tiktok.com/@iam_notkira/video/7656966967823289630
2026-07-05 17:27:14 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@iam_notkira/video/7656966967823289630
2026-07-05 17:27:15 | INFO     | scraper | Waiting 60 s for manual CAPTCHA solving …
2026-07-05 17:28:27 | DEBUG    | scraper | Opened comments via '[data-e2e="comment-count"]'.
2026-07-05 17:28:30 | DEBUG    | scraper | Found 0 comment items via selector.
2026-07-05 17:28:30 | DEBUG    | scraper | No structured comments found, trying text-based extraction.
2026-07-05 17:29:10 | INFO     | scraper | Video scraped: 7656966967823289630 —  plays, 1168 likes, 3 comments.
2026-07-05 17:29:10 | INFO     | utils | Data saved to C:\Users\wess\Desktop\python get data\output\video_7656966967823289630.json
2026-07-05 17:29:11 | INFO     | scraper | Session saved to tiktok_session.json
2026-07-05 17:29:11 | INFO     | scraper | TikTokScraper stopped.
2026-07-05 17:41:24 | INFO     | scraper | Starting TikTokScraper …
2026-07-05 17:41:25 | INFO     | scraper | Loaded saved session from tiktok_session.json
2026-07-05 17:41:25 | INFO     | scraper | Browser context created.
2026-07-05 17:41:25 | INFO     | scraper | Scraping video: https://www.tiktok.com/@iam_notkira/video/7656966967823289630
2026-07-05 17:41:25 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@iam_notkira/video/7656966967823289630
2026-07-05 17:41:26 | INFO     | scraper | Waiting 15 s for manual CAPTCHA solving …
2026-07-05 17:41:54 | DEBUG    | scraper | Opened comments via '[data-e2e="comment-count"]'.
2026-07-05 17:41:57 | DEBUG    | scraper | Found 20 comment wrappers.
2026-07-05 17:42:37 | INFO     | scraper | Video scraped: 7656966967823289630 —  plays, 1170 likes, 20 comments.
2026-07-05 17:42:37 | INFO     | utils | Data saved to C:\Users\wess\Desktop\python get data\output\video_7656966967823289630.json
2026-07-05 17:42:38 | INFO     | scraper | Session saved to tiktok_session.json
2026-07-05 17:42:38 | INFO     | scraper | TikTokScraper stopped.
2026-07-05 17:52:00 | INFO     | scraper | Starting TikTokScraper …
2026-07-05 17:52:00 | INFO     | scraper | Loaded saved session from tiktok_session.json
2026-07-05 17:52:01 | INFO     | scraper | Browser context created.
2026-07-05 17:52:01 | INFO     | scraper | Scraping video: https://www.tiktok.com/@iam_notkira/video/7645170711409069343?image_index=2
2026-07-05 17:52:01 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@iam_notkira/video/7645170711409069343?image_index=2
